"RACE","","",""
"MALE 
FEMALE 
TOTAL","","",""
"White","869","194","1,063"
"Black","1,847","140","1,987"
"Hispanic","32","1","33"
"Other","5","0","5"
"Unknown Race","1","0","1"
"Unknown Gender","0","1","1"
"TOTAL","2,754","336","3,090"
