"MALES","","","",""
"SALE OF DRUGS","Black","White","Hispanic","Other"
"Cocaine - Sell","527","18","1","0"
"Delivery of Controlled","175","41","2","1"
"Marijuana - Production","0","6","0","0"
"Marijuana - Sell","91","33","3","1"
"Marijuana - Smuggle","0","0","0","0"
"Methamphetamine - Sell","0","7","0","0"
"Producing Controlled","0","33","0","0"
"Sale of Controlled Substance","46","31","1","0"
"TOTAL","839","169","7","2"
