"AGE","","",""
"","MALE AND FEMALE","","MALE AND FEMALE"
"14","0","40-49","1,743"
"15","1","50-59","479"
"16","7","60-69","86"
"17","15","70-79","14"
"18-19","237","80+","5"
"20-29","3,728","Verification Pending","0"
"30-39","2,481","TOTAL","8,796"
