"COUNTY","OFFENDERS","PERCENT"
"Pearl River","65","2.10%"
"Perry","7","0.23%"
"Pike","111","3.59%"
"Pontotoc","53","1.72%"
"Prentiss","16","0.52%"
"Quitman","9","0.29%"
"Rankin","141","4.56%"
"Scott","39","1.26%"
"Sharkey","7","0.23%"
"Simpson","19","0.61%"
"Smith","6","0.19%"
"Stone","15","0.49%"
"Sunflower","24","0.78%"
"Tallahatchie","18","0.58%"
"Tate","10","0.32%"
"Tippah","20","0.65%"
"Tishomingo","5","0.16%"
"Tunica","13","0.42%"
"Union","39","1.26%"
"Walthall","22","0.71%"
"Warren","67","2.17%"
"Washington","27","0.87%"
"Wayne","22","0.71%"
"Webster","10","0.32%"
"Wilkinson","4","0.13%"
"Winston","14","0.45%"
"Yalobusha","6","0.19%"
