"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"1","0","0","0","2","50.00%"
"0","0","0","0","1","25.00%"
"0","0","0","0","1","25.00%"
"1","0","0","0","4","100.00%"
