"TYPE OF OFFENSE","","","",""
"OFFENSE","NUMBER 
AVERAGE           
AVERAGE AGE 
OF 
PERCENT 
SENTENCE 
OFFENSES 
LENGTH IN YEARS 
AT OFFENSE","","",""
"Burglary","9","39.13%","5.67","15.80"
"Other Property","3","13.04%","1.00","16.51"
"Possession of Drugs","1","4.35%","4.00","16.30"
"Robbery","6","26.09%","5.33","15.31"
"Violent","4","17.39%","3.25","16.61"
