"FEMALES","","","","",""
"BLACK","WHITE","HISPANIC","OTHER","TOTAL","PERCENT"
"2","0","0","0","7","0.35%"
"54","19","1","0","688","34.49%"
"0","0","0","0","2","0.10%"
"5","5","0","0","197","9.87%"
"2","3","0","0","52","2.61%"
"0","0","0","0","5","0.25%"
"0","0","0","0","16","0.80%"
"0","29","0","0","125","6.27%"
"0","1","0","0","3","0.15%"
"3","1","0","0","49","2.46%"
"20","95","0","1","717","35.94%"
"0","4","0","0","58","2.91%"
"0","4","0","0","28","1.40%"
"0","0","0","0","3","0.15%"
"0","9","0","0","45","2.26%"
"86","170","1","1","1,995","100.00%"
