"Age","Male","Female","Total","Percent"
"17","1","0","1","0.04%"
"18-19","16","2","18","0.78%"
"20-29","690","89","779","33.93%"
"30-39","836","126","962","41.90%"
"40-49","288","62","350","15.24%"
"50-59","133","26","159","6.93%"
"60-69","25","1","26","1.13%"
"70-79","1","0","1","0.04%"
"80+","0","0","0","0.00%"
"Total","1,990","306","2,296","100.00%"
