"Offense","Average Sentence Length in Years"
"Aggravated Assault","10"
"Burglary","6"
"Drug Intent","8"
"Homicide/Manslaughter","32"
"Other Property","4"
"Possession of Drugs","5"
"Roberry","12"
"Sale of Drugs","7"
"Sex Offense","9"
"Violent","9"
