"Offense","Average Sentence Length in Years"
"Aggravated Assault","7"
"Burglary","1"
"Homicide/Manslaughter","22"
"Other Property","1"
"Possession Of Drugs","0"
"Robbery","9"
"Sex Offense","13"
"Violent","1"
