"Offense","Average Sentence Length in Years"
"Child Molestation","6.6"
"Child Pornography","7.0"
"Computer Luring Of Child For Sexual Conduct","2.7"
"Entice Child For Indecent Purposes","4.5"
"Exploitation/Child","8.3"
"Fondling","5.3"
"Fondling A Child","7.0"
"Forcible Sexual Intercourse","35.0"
"Gratification/Lust","7.6"
"Human Trafficking","8.5"
"Kidnap Minor","14.0"
"Rape","15.0"
"Sexual Battery","12.7"
"Statutory Rape","9.0"
"Unlawful Touching/Child","7.0"
"Video Voyeurism-Photographing Or Filming","5.7"
