"Race","Male","Female","Total","Percent"
"White","3","0","3","7.69%"
"Black","34","1","35","89.74%"
"Hispanic","1","0","1","2.56%"
"Other","0","0","0","0.00%"
"Total","38","1","39","100.00%"
