"Offense","Average Age at Time of Sentence"
"Child Molestation","49"
"Child Pornography","41"
"Computer Luring Of Child For Sexual Conduct","54"
"Entice Child For Indecent Purposes","42"
"Exploitation/Child","38"
"Fondling","42"
"Fondling A Child","38"
"Forcible Sexual Intercourse","38"
"Gratification/Lust","41"
"Human Trafficking","30"
"Kidnap Minor","42"
"Rape","38"
"Sexual Battery","37"
"Statutory Rape","28"
"Unlawful Touching/Child","42"
"Video Voyeurism-Photographing Or Filming","40"
