"Age","Male","Female","Total","Percent"
"50-59","468","57","525","82.16%"
"60-69","100","4","104","16.28%"
"70-79","8","0","8","1.25%"
"80+","2","0","2","0.31%"
"Total","578","61","639","100.00%"
