"Offense","Male","Female","Total","Percent"
"Aggravated Assault","6","0","6","15.38%"
"Burglary","3","0","3","7.69%"
"Homicide/Manslaughter","5","0","5","12.82%"
"Other Property","3","0","3","7.69%"
"Possession Of Drugs","1","0","1","2.56%"
"Robbery","12","1","13","33.33%"
"Sex Offense","4","0","4","10.26%"
"Violent","4","0","4","10.26%"
"Total","38","1","39","100.00%"
