"Offense","Average Sentence Length in Years"
"Aggravated Assault","7.8"
"Burglary","5.6"
"Drug Intent","6.8"
"Homicide/Manslaughter","30.1"
"Other Property","3.7"
"Possession of Drugs","4.6"
"Robbery","11.4"
"Sale of Drugs","6.6"
"Sex Offense","11.4"
"Violent","8.7"
"Violent",""
