"Race","Male","Female","Total","Percent"
"White","154","7","161","53.49%"
"Black","130","1","131","43.52%"
"Hispanic","8","0","8","2.66%"
"Other","1","0","1","0.33%"
"Total","293","8","301","100.00%"
