"Offense","Black","White","Hispanic","Other","Total"
"Drug Intent","234","198","4","4","440"
"Possession of Drugs","496","361","7","6","870"
"Sale of Drugs","507","167","3","3","680"
"Total","1,237","726","14","13","1,990"
