"Race","Male","Female","Total","Percent"
"White","2,319","568","2,887","40.66%"
"Black","3,861","270","4,131","58.17%"
"Hispanic","50","3","53","0.75%"
"Other","28","1","29","0.41%"
"Total","6,258","842","7,100","100.00%"
