"Offense","Average Age at Time of Sentence"
"Aggravated Assault","32.8"
"Burglary","28.2"
"Drug Intent","32.8"
"Homicide/Manslaughter","29.8"
"Other Property","34.9"
"Possession of Drugs","33.4"
"Robbery","26.0"
"Sale of Drugs","33.3"
"Sex Offense","36.7"
"Violent","30.8"
"Violent",""
