"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,594","58.61%","2,767","50.96%","13,361","56.85%"
"White","7,097","39.27%","2,549","46.94%","9,646","41.04%"
"Hispanic","129","0.71%","20","0.37%","149","0.63%"
"Native American","20","0.11%","5","0.09%","25","0.11%"
"Asian","46","0.25%","17","0.31%","63","0.27%"
"Data Unavailabl","188","1.04%","72","1.33%","260","1.11%"
"TOTAL","18,074","100.00%","5,430","100.00%","23,504","100.00%"
