"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","13,888","59.82%","3,322","47.76%","17,210","57.04%"
"White","8,960","38.60%","3,539","50.88%","12,499","41.43%"
"Hispanic","166",".72%","32",".46%","198",".66%"
"Native American","23",".10%","7",".10%","30",".10%"
"Asian","78",".34%","19",".27%","97",".32%"
"Data Unavailable","100",".43%","36",".52%","136",".45%"
"TOTAL","23,215","100.00%","6,955","100.00%","30,170","100.00%"
