"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,323","59.97%","2,690","48.57%","14,013","57.39%"
"White","7,248","38.39%","2,773","50.07%","10,021","41.04%"
"Hispanic","128","0.68%","16","0.29%","144","0.59%"
"Native American","21","0.11%","6","0.11%","27","0.11%"
"Asian","53","0.28%","10","0.18%","63","0.26%"
"Data Unavailable","108","0.57%","43","0.78%","151","0.62%"
"TOTAL","18,881","100.00%","5,538","100.00%","24,419","100.00%"
