"Facility","Jul ('16)","Aug","Sep","Oct"
"Mississippi State Penitentiary","3,392","3,358","3,376","3,337"
"Central Mississippi Correctional Facility","3,162","3,431","3,479","3,471"
"Youthful Offender Unit","32","33","36","36"
"South Mississippi Correctional Institution","2,987","2,980","2,978","2,970"
"County Jails","1,519","1,526","1,410","1,310"
"Community Work Centers","1,092","1,044","996","970"
"County/Regional Facilities","3,506","3,563","3,873","4,038"
"Private Prisons","3,852","3,537","3,129","3,061"
"Restitution Centers","14","11","11","13"
"Total","19,556","19,483","19,288","19,206"
