"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum-Community","50","198","4","1","0","253"
"Minimum-Non -Community","160","226","6","1","0","393"
"Medium","223","359","2","2","0","586"
"Close","87","48","1","0","1","137"
"DR","0","1","0","0","0","1"
"Unclassified","129","217","2","2","2","352"
"Total","649","1049","15","6","3","1722"
