"OFFENSE","Black","White","Hispanic","Other","Unknown","Total","Percent"
"DRUG","2322","1443","40","13","2","3820","20.27%"
"NON-VIOLENT","1642","1339","21","14","1","3017","16.01%"
"SEX","1385","1409","49","16","1","2860","15.18%"
"VIOLENT","6850","2209","52","23","2","9136","48.49%"
"UNAVAILABLE","4","2","0","1","1","8","0.04%"
"Total","12203","6402","162","67","7","18841","100.00%"
