"Classification","Female Classification","Percent"
"Minimum-Community","253","14.69%"
"Minimum-Non -Community","393","22.82%"
"Medium","586","34.03%"
"Close","137","7.96%"
"DR","1","0.06%"
"Unclassified","352","20.44%"
"Total","1722","100.00%"
