"OFFENSE","Black","White","Hispanic","Other","Unknown","Total","Percent"
"DRUG","133","396","5","2","1","537","31.18%"
"NON-VIOLENT","162","293","4","1","1","461","26.77%"
"SEX","14","64","1","0","0","79","4.59%"
"VIOLENT","340","296","5","3","1","645","37.46%"
"UNAVAILABLE","0","0","0","0","0","0","0.00%"
"Total","649","1049","15","6","3","1722","100.00%"
