"OFFENSE","MALE","FEMALE","TOTAL","PERCENT"
"DRUG","3819","537","4356","21.18%"
"NON-VIOLENT","3017","461","3478","16.91%"
"SEX","2860","79","2939","14.29%"
"VIOLENT","9136","645","9781","47.57%"
"UNAVAILABLE","9","0","9","0.04%"
"Total","18841","1722","20563","100.00%"
