"Classification","Male and Female","Percent"
"Minimum-Community","1560","7.59%"
"Minimum-Non -Community","3658","17.79%"
"Medium","10118","49.20%"
"Close","2888","14.04%"
"DR","41","0.20%"
"Unclassified","2298","11.18%"
"Total","20563","100.00%"
