"Classification","Black","White","Hispanic","Other","Unknown","Total"
"Minimum-Community","762","533","4","7","1","1307"
"Minimum-Non -Community","1842","1389","22","11","1","3265"
"Medium","6291","3111","97","32","1","9532"
"Close","2147","581","16","7","0","2751"
"DR","23","15","1","1","0","40"
"Unclassified","1138","773","22","9","4","1946"
"Total","12203","6402","162","67","7","18841"
