"% OF TOTAL OFFENSES","32.76%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,635"
"Lifers","","1,644"
"Habitual Offenders","","914"
"Habitual Lifers","","132"
"Death Row","","70"
