"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,099","58.24%","2,299","45.78%","12,398","55.44%"
"White","6,780","39.10%","2,601","51.79%","9,381","41.95%"
"Hispanic","144","0.83%","17","0.34%","161","0.72%"
"Native American","19","0.11%","","0.08%","23","0.10%"
"Asian","46","0.27%","44","0.08%","50","0.22%"
"Data Unavailable","253","1.46%","97","1.93%","350","1.57%"
"TOTAL","17,341","100.00%","5,022","100.00%","22,363","100.00%"
