"TOTAL","","33,666","100.00%","","",""
"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,415","58.53%","2,205","41.05%","12,620","54.48%"
"White","7,122","40.02%","3,083","57.40%","10,205","44.05%"
"Hispanic","149","0.84%","33",".61%","182",".79%"
"Native American","15",".08%","16",".30%","31",".13%"
"Asian","54",".30%","16",".30%","70",".30%"
"Data Unavailable","40",".22%","18",".34%","58",".25%"
"TOTAL","17,795","100.00%","5,371","100.00%","23,166","100.00%"
