"% OF TOTAL OFFENSES","31.05%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,946"
"Lifers","","1,633"
"Habitual Offenders","","1,325"
"Habitual Lifers","","204"
"Death Row","","60"
