"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","11,679","60.69%","2,374","42.46%","14,053","56.59%"
"White","7,323","38.06%","3,135","56.07%","10,458","42.11%"
"Hispanic","143","0.74%","31",".55%","174",".70%"
"Native American","16",".08%","15",".27%","31",".12%"
"Asian","55",".29%","12",".21%","67",".27%"
"Data Unavailable","27",".14%","24",".43%","51",".21%"
"TOTAL","19,243","100.00%","5,591","100.00%","24,834","100.00%"
