"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,170","37.65%"
"Property","12,843","47.54%"
"Violent","3,022","11.19%"
"Sex","978","3.62%"
"TOTAL","27,013","100.00%"
