"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,751","5,663","40.52%",""
"Central Mississippi Correctional Facility","3,233","3,125","22.36%",""
"South Mississippi Correctional Institution","2,214","2,107","15.08%",""
"County Jails - Approved*","2,133","1,696","12.14%",""
"County Jails - Unapproved**","0","67","0.48%",""
"Community Work Centers","1350","1,317","9.42%",""
"","14,681","13,975","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","235","9.08%",""
"Carroll County Correctional Facility","250","236","9.12%",""
"GeorgeCounty Correctional Facility","250","235","9.08%",""
"Holmes County Correctional Facility","250","236","9.12%",""
"Issaquena County Correctional Facility","250","236","9.12%",""
"Jefferson County Correctional Facility","250","237","9.15%",""
"Kemper County Correctional Facility","250","233","9.00%",""
"Leake Correctional Facility","250","235","9.08%",""
"Marion County Correctional Facility","250","236","9.12%",""
"Stone County Correctional Facility","250","235","9.08%",""
"Winston County Correctional Facility","250","235","9.08%",""
"","2,750","2,589","100.00%","Regional Facilities"
"Private Prisons","","","",""
"East MS Correctional Facility","1,000","684","20.18%",""
"Marshall County Correctional Facility","1,000","989","29.17%",""
"Walnut Grove Correctional Facility","750","723","21.33%",""
"Wilkinson County Correctional Facility","1,000","994","29.32%",""
"","3,750","3,390","100.00%","Private Prisons"
"Community Trusties","30","18","0.08%",""
"Emergency Suspension","","6","0.03%",""
"Court Order","","365","1.57%",""
"TOTAL CAPACITY & CUSTODY POPULATION","21,211","20,343","87.27%",""
"Intensive Supervision Program","","1,456","6.25%",""
"Earned Release Supervision Program","","1,171","5.02%",""
"Medical Release","0 0 0 0 0","0","0.00%",""
"","","2,627","11.27%","Community Corrections"
"Other Custody","","237","1.02%",""
"University of MS Medical Center","0","8","0.03%",""
"At Large (Escapees & Walk-Aways)","0","96","0.41%",""
"TOTAL","21,211","23,311","100.00%","00"
