"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,561","29.22%"
"Probation - Compact","1,031","2.85%"
"Probation - Nonadjudicated","4,245","11.75%"
"Probation - Post Release","10,653","29.48%"
"PROBATION TOTAL","26,490","73.30%"
"Parole","6,234","17.25%"
"Parole - Compact","330","0.91%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,564","18.16%"
"Intensive Supervision Program - Court","1,154","3.19%"
"Intensive Supervision Program - Prison","445","1.23%"
"Earned Release Supervision","1,443","3.99%"
"Medical Release","44",".12%"
"COMMUNITY INMATE TOTAL","3,086","8.54%"
"TOTAL","36,140","100.00%"
