"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","15,628","60.89%","3,614","47.96%","19,242","57.95%"
"White","9,675","37.69%","3,814","50.62%","13,489","40.63%"
"Hispanic","167","0.65%","43",".57%","210",".63%"
"Native American","29",".11%","9",".12%","38",".11%"
"Asian","76",".30%","20",".27%","96",".29%"
"Data Unavailable","93",".36%","35",".46%","128",".39%"
"TOTAL","25,668","100.00%","7,535","100.00%","33,203","100.00%"
