"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","3,590","3,392","16.25%"
"Central Mississippi Correctional Facility","3,750","3,281","15.72%"
"South Mississippi Correctional Institution","3,082","2,645","12.67%"
"Youthful Offender Facility","58","29","0.14%"
"County Jails - Approved","1,781","658","3.15%"
"County Jails - Unapproved","0","381","1.83%"
"Community Work Centers","1,154","651","3.12%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","13,415","11,037","52.87%"
"Alcorn County Correctional Facility","300","287","1.37%"
"Bolivar County Correctional Facility","369","293","1.40%"
"Carroll County Correctional Facility","280","276","1.32%"
"Chickasaw County Correctional Facility","310","300","1.44%"
"George County Correctional Facility","280","335","1.60%"
"Holmes County Correctional Facility","280","280","1.34%"
"Issaquena County Correctional Facility","274","266","1.27%"
"Jefferson County Correctional Facility","280","291","1.39%"
"Kemper County Correctional Facility","355","344","1.65%"
"Leake County Correctional Facility","280","275","1.32%"
"Marion County Correctional Facility","280","280","1.34%"
"Stone County Correctional Facility","326","319","1.53%"
"Washington County Correctional Facility","300","214","1.03%"
"Winston County Correctional Facility","280","267","1.28%"
"Yazoo County Correctional Facility","300","292","1.40%"
"TOTAL REGIONAL FACILITIES","4,494","4,319","20.69%"
"Delta Correctional Facility","972","0","0.00%"
"East MS Correctional Facility","1,500","1,281","6.14%"
"Marshall County Correctional Facility","1,000","998","4.78%"
"Walnut Grove Correctional Facility","1,500","0","0.00%"
"Wilkinson County Correctional Facility","1,000","927","4.44%"
"TOTAL PRIVATE PRISONS","5,972","3,206","15.36%"
