"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","14,792","60.54%","3,247","46.04%","18,039","57.29%"
"White","9,272","37.95%","3,693","52.37%","12,965","41.18%"
"Hispanic","189","0.77%","50",".71%","239",".76%"
"Native American","24",".10%","14",".20%","38",".12%"
"Asian","79",".32%","17",".24%","96",".30%"
"Data Unavailable","77",".32%","31",".44%","108",".34%"
"TOTAL","24,433","100.00%","7,052","100.00%","31,485","100.00%"
