"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,334","29.36%"
"Probation - Compact","1,008","2.86%"
"Probation - Nonadjudicated","4,060","11.54%"
"Probation - Post Release","10,184","28.94%"
"PROBATION TOTAL","25,586","72.70%"
"Parole","6,222","17.68%"
"Parole - Compact","330","0.94%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,552","18.62%"
"Intensive Supervision Program - Court","1,178","3.35%"
"Intensive Supervision Program - Prison","392","1.11%"
"Earned Release Supervision","1,443","4.10%"
"Medical Release","45",".13%"
"COMMUNITY INMATE TOTAL","3,058","8.69%"
"TOTAL","35,196","100.00%"
