"","","MISSISSIPPI DEPARTMENT OF CORRECTIONS","","",""
"","","MONTHLY FACT SHEET","","",""
"","","As of October 1, 2002","","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS","","",""
"Probation","10,614","51.14%","","",""
"Compact Probation","1,017","4.90%","","",""
"Nonadjudicated","2,142","10.32%","","",""
"Post Release","2,513","12.11%","","",""
"","16,286","78.47%","Probation Total","",""
"Parole","1,479","7.13%","","",""
"Compact Parole","385","1.85%","","",""
"Suspension","8","0.04%","","",""
"","1,872","9.02%","Parole Total","",""
"Intensive Supervision Program - Court","1,192","5.74%","","",""
"Intensive Supervision Program - Prison","289","1.39%","","",""
"Earned Release Supervision","1,116","5.38%","","",""
"Medical Release","0","0.00%","","",""
"","2,597","12.51%","Community Inmate Total","",""
"TOTAL","20,755","100.00%","","",""
"PROBATION STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
7,613","60.31%","2,027","55.35%","9,640","59.19%"
"White
4,875","38.62%","1,587","43.34%","6,462","39.68%"
"Hispanic
47","0.37%","16","0.44%","63","0.39%"
"Native American
27","0.21%","7","0.19%","34","0.21%"
"Asian
38","0.30%","25","0.68%","63","0.39%"
"Data Unavailable
24","0.19%","","0.00%","24","0.15%"
"TOTAL
12,624","100.00%","3,662","100.00%","16,286","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
1,993","12.24%","","","",""
"Property
9,252","56.81%","","","",""
"Drug
5,041","30.95%","","","",""
"TOTAL
16,286","100.00%","","","",""
"PAROLE STATISTICS","","","","",""
"BY RACE AND SEX","","","","",""
"","% OF","","% OF","",""
"","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE
MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black
1,169","70.98%","123","54.67%","1,292","69.02%"
"White
465","28.23%","101","44.89%","566","30.24%"
"Hispanic
8","0.49%","","0.44%","9","0.48%"
"Native American
2","0.12%","1 0 0","0.00%","","0.11%"
"Asian
3","0.18%","","0.00%","32","0.16%"
"TOTAL
1,647","100.00%","225","100.00%","1,872","100.00%"
"BY OFFENSE","","","","",""
"NO. OF","% of TOTAL","","","",""
"OFFENSE
OFFENDERS","OFFENDERS","","","",""
"Violent
613","32.75%","","","",""
"Property
590","31.52%","","","",""
"Drug
669","35.74%","","","",""
"TOTAL
1,872","100.00%","","","",""
