"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,082","29.64%"
"Probation - Compact","1,024","3.01%"
"Probation - Nonadjudicated","3,857","11.34%"
"Probation - Post Release","9,726","28.60%"
"PROBATION TOTAL","24,689","72.59%"
"Parole","5,961","17.53%"
"Parole - Compact","347","1.02%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,308","18.55%"
"Intensive Supervision Program - Court","1,121","3.30%"
"Intensive Supervision Program - Prison","385","1.13%"
"Earned Release Supervision","1,465","4.31%"
"Medical Release","43",".13%"
"COMMUNITY INMATE TOTAL","3,014","8.86%"
"TOTAL","34,011","100.00%"
