"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,768","5,704","40.56%",""
"Central Mississippi Correctional Facility","3,233","3,188","22.67%",""
"South Mississippi Correctional Institution","2,214","2,151","15.30%",""
"County Jails - Approved*","2,176","1,549","11.01%",""
"County Jails - Unapproved**","0","59","0.42%",""
"Community Work Centers","1816","1,412","10.04%",""
"","15,207","14,063","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","239","9.23%",""
"Carroll County Correctional Facility","250","236","9.11%",""
"GeorgeCounty Correctional Facility","250","237","9.15%",""
"Holmes County Correctional Facility","250","235","9.07%",""
"Issaquena County Correctional Facility","250","230","8.88%",""
"Jefferson County Correctional Facility","250","237","9.15%",""
"Kemper County Correctional Facility","250","236","9.11%",""
"Leake Correctional Facility","250","235","9.07%",""
"Marion County Correctional Facility","250","236","9.11%",""
"Stone County Correctional Facility","250","237","9.15%",""
"Winston County Correctional Facility","250","232","8.96%",""
"","2,750","2,590","100.00%","Regional Facilities"
"Private Prisons","","","",""
"East MS Correctional Facility","1,000","731","21.02%",""
"Marshall County Correctional Facility","1,000","995","28.61%",""
"Walnut Grove Correctional Facility","750","759","21.82%",""
"Wilkinson County Correctional Facility","1,000","993","28.55%",""
"","3,750","3,478","100.00%","Private Prisons"
"Community Trusties","30","23","0.10%",""
"Emergency Suspension","","4","0.02%",""
"Court Order","","353","1.50%",""
"TOTAL CAPACITY & CUSTODY POPULATION","21,737","20,511","87.44%",""
"Intensive Supervision Program","","1,406","5.99%",""
"Earned Release Supervision Program","","1,182","5.04%",""
"Medical Release","0 0 0 0 0","0","0.00%",""
"","","2,588","11.03%","Community Corrections"
"Other Custody","","198","0.84%",""
"University of MS Medical Center","0","3","0.01%",""
"At Large (Escapees & Walk-Aways)","0","156","0.67%",""
"TOTAL","21,737","23,456","100.00%","00"
