"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","11,375","60.05%","2,714","48.42%","14,089","57.40%"
"White","7,257","38.31%","2,814","50.21%","10,071","41.03%"
"Hispanic","129","0.68%","18","0.32%","147","0.60%"
"Native American","21","0.11%","6","0.11%","27","0.11%"
"Asian","54","0.29%","10","0.18%","64","0.26%"
"Data Unavailable","106","0.56%","43","0.77%","149","0.61%"
"TOTAL","18,942","100.00%","5,605","100.00%","24,547","100.00%"
