"INMATE STATISTICS","","",""
"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Mississippi State Penitentiary","4,627","4,096","30.63%"
"Central Mississippi Correctional Facility","3,665","3,392","25.36%"
"South Mississippi Correctional Institution","3,204","3,047","22.78%"
"County Jails - Approved*","1,752","1,117","8.35%"
"County Jails - Unapproved**","0","207","1.55%"
"Community Work Centers","1,848","1,515","11.33%"
"TOTAL STATE, COUNTY JAILS, CWC FACILITIES","15,096","13,374","100.00%"
"Bolivar County Correctional Facility","294","279","9.56%"
"Carroll County Correctional Facility","280","264","9.04%"
"George County Correctional Facility","280","265","9.08%"
"Holmes County Correctional Facility","280","264","9.04%"
"Issaquena County Correctional Facility","274","257","8.80%"
"Jefferson County Correctional Facility","280","265","9.08%"
"Kemper County Correctional Facility","280","265","9.08%"
"Leake County Correctional Facility","280","264","9.04%"
"Marion County Correctional Facility","280","266","9.11%"
"Stone County Correctional Facility","280","265","9.08%"
"Winston County Correctional Facility","280","265","9.08%"
"TOTAL REGIONAL FACILITIES","3,088","2,919","100.00%"
"Delta Correctional Facility","972","954","17.40%"
"East MS Correctional Facility","1,500","1,359","24.78%"
"Marshall County Correctional Facility","1,000","977","17.82%"
"Walnut Grove Correctional Facility","1,500","1,220","22.25%"
"Wilkinson County Correctional Facility","1,000","974","17.76%"
"TOTAL PRIVATE PRISONS","5,972","5,484","100.00%"
"Community Trusties","02
2","20","0.08%"
"Emergency Suspension","","0","0.00%"
"Pending File Review","0","183","0.72%"
"Court Order","0","267","1.05%"
"TOTAL CAPACITY & CUSTODY POPULATION","24,178","22,247","87.46%"
"Intensive Supervision Program","0","1,155","4.54%"
"Earned Release Supervision Program","00","1,608","6.32%"
"Medical Release","","38","0.15%"
"TOTAL COMMUNITY CORRECTIONS","00","2,801","11.01%"
"Other Custody","","330","1.30%"
"Off-Grounds Medical (Hospital)","0","9","0.04%"
"At Large (Escapees & Walk-Aways)","0","50","0.20%"
"TOTAL","24,178","25,437","100.00%"
