"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","14,486","60.75%","3,382","48.08%","17,868","57.86%"
"White","9,006","37.77%","3,555","50.54%","12,561","40.68%"
"Hispanic","163",".68%","39",".55%","202",".65%"
"Native American","27",".11%","6",".09%","33",".11%"
"Asian","70",".29%","18",".26%","88",".28%"
"Data Unavailable","95",".40%","34",".48%","129",".42%"
"TOTAL","23,847","100.00%","7,034","100.00%","30,881","100.00%"
