"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","12,985","59.70%","3,190","48.44%","16,175","57.08%"
"White","8,434","38.78%","3,297","50.06%","11,731","41.40%"
"Hispanic","142",".65%","24",".36%","166",".59%"
"Native American","23",".11%","11",".17%","34",".12%"
"Asian","67",".31%","20",".30%","87",".31%"
"Data Unavailable","100",".46%","44",".67%","144",".51%"
"TOTAL","21,751","100.00%","6,586","100.00%","28,337","100.00%"
