"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","15,918","60.82%","3,519","46.52%","19,437","57.62%"
"White","9,855","37.66%","3,926","51.90%","13,781","40.85%"
"Hispanic","206","0.79%","54",".71%","260",".77%"
"Native American","27",".10%","13",".17%","40",".12%"
"Asian","82",".31%","17",".22%","99",".29%"
"Data Unavailable","83",".32%","35",".46%","118",".35%"
"TOTAL","26,171","100.00%","7,564","100.00%","33,735","100.00%"
