"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","8,623","20.54%"
"Probation - Compact","1,384","3.30%"
"Probation - Nonadjudicated","4,209","10.03%"
"Probation - Post Release","16,665","39.69%"
"PROBATION TOTAL","30,881","73.55%"
"Parole","7,530","17.93%"
"Parole - Compact","527","1.26%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","8,057","19.19%"
"Intensive Supervision Program - Court","1,093","2.60%"
"Intensive Supervision Program - Prison","436","1.04%"
"Earned Release Supervision","1,494","3.56%"
"Medical Release","24",".06%"
"COMMUNITY INMATE TOTAL","3,047","7.26%"
"TOTAL","41,985","100.00%"
