"LOCATION","CAPACITY","NO. OF OFFENDERS","% OF TOTAL OFFENDERS",""
"Mississippi State Penitentiary","5,631","5,309","41.42%",""
"Central Mississippi Correctional Facility","3,049","2,982","23.27%",""
"South Mississippi Correctional Institution","2,214","2,011","15.69%",""
"County Jails - Approved*","2,104","1,167","9.11%",""
"County Jails - Unapproved**","0","72","0.56%",""
"Community Work Centers","1320","1,275","9.95%",""
"","14,318","12,816","100.00%","State, County Jails, & CWC Facilities"
"Regional Correctional Facilities","","","",""
"Bolivar County Correctional Facility","250","197","9.91%",""
"Carroll County Correctional Facility","250","199","10.02%",""
"Holmes County Correctional Facility","250","199","10.02%",""
"Issaquena County Correctional Facility","250","192","9.66%",""
"Jefferson County Correctional Facility","250","200","10.07%",""
"Kemper County Correctional Facility","250","196","9.86%",""
"Leake Correctional Facility","250","201","10.12%",""
"Marion County Correctional Facility","250","200","10.07%",""
"Stone County Correctional Facility","250","200","10.07%",""
"Winston County Correctional Facility","250","203","10.22%",""
"","2,500","1,987","100.00%","Regional Facilities"
"Private Prisons","","","",""
"Delta Correctional Facility","1,000","756","23.51%",""
"East MS Correctional Facility","500","498","15.49%",""
"Marshall County Correctional Facility","1,000","735","22.85%",""
"Walnut Grove Correctional Facility","500","350","10.88%",""
"Wilkinson County Correctional Facility","900","877","27.27%",""
"","3,900","3,216","100.00%","Private Prisons"
"Community Trusties","30","24","0.12%",""
"Emergency Suspension","","2","0.01%",""
"Court Order","","210","1.02%",""
"TOTAL CAPACITY & CUSTODY POPULATION","20,748","18,255","88.31%",""
"Intensive Supervision Program","","1,203","5.82%",""
"Earned Release Supervision Program","","936","4.53%",""
"Medical Release","0 0 0 0 0","2","0.01%",""
"","","2,141","10.36%","Community Corrections"
"Other Custody","","201","0.97%",""
"University of MS Medical Center","0","5","0.02%",""
"At Large (Escapees & Walk-Aways)","0","70","0.34%",""
"TOTAL","20,748","20,672","100.00%","00"
