"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","13,238","59.78%","3,170","47.70%","16,408","56.99%"
"White","8,583","38.76%","3,394","51.07%","11,977","41.60%"
"Hispanic","156",".70%","27",".41%","183",".64%"
"Native American","23",".10%","8",".12%","31",".11%"
"Asian","63",".28%","16",".24%","79",".27%"
"Data Unavailable","82",".37%","31",".47%","113",".39%"
"TOTAL","22,145","100.00%","6,646","100.00%","28,791","100.00%"
