"At Large (Escapees & Walk-Aways)","","","0","24","0.11%","","",""
"TOTAL","","","23,881","21,172","100.00%","","",""
"BY RACE/SEX AND LOCATION","","","","","","","",""
"","","% OF","","% OF","","","% OF",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","","TOTAL",""
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","","OFFENDERS",""
"Black","12,156","63.54%","604","35.95%","12,761","","60.27%",""
"White","6,693","34.98%","1,055","62.80%","7,748","","36.60%",""
"Hispanic","200","1.05%","13",".77%","213","","1.01%",""
"Native American","27",".14%","5",".30%","32","",".15%",""
"Asian","46",".24%","2",".12%","48","",".23%",""
"Data Unavailable","10",".05%","1",".06%","11","",".05%",""
"TOTAL","19,132","100.00%","1,680","100.00%","21,172","","100.00%",""
"","Black","","White","Hispanic","Native American","Asian","","Data Unavailable TOTAL"
"LOCATION","Male","Female
Male","Female","Male
Female","Male
Female","Male","Female
Male","Female"
