"% OF TOTAL OFFENSES","33.27%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,674"
"Lifers","","1,656"
"Habitual Offenders","","927"
"Habitual Lifers","","140"
"Death Row","","69"
