"% OF TOTAL OFFENSES","34.38%",""
"SPECIFIC OFFENSE STATISTICS","",""
"","","NO. OF"
"TYPE OF OFFENDER","","OFFENDERS"
"Armed Robbery (Mandatory)","","1,772"
"Lifers","","1,656"
"Habitual Offenders","","995"
"Habitual Lifers","","155"
"Death Row","","69"
