"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","10,711","58.72%","2,494","46.73%","13,205","56.01%"
"White","7,075","38.79%","2,722","51.00%","9,797","41.55%"
"Hispanic","154","0.84%","23","0.43%","177","0.75%"
"Native American","24","0.13%","","0.04%","26","0.11%"
"Asian","49","0.27%","72","0.13%","56","0.24%"
"Data Unavailable","228","1.25%","89","1.67%","317","1.34%"
"TOTAL","18,241","100.00%","5,337","100.00%","23,578","100.00%"
