"PAROLE STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,672","58.92%","366","28.28%","5,038","54.62%"
"White","3,179","817.00%","917","70.87%","4,096","44.41%"
"Hispanic","41",".52%","4",".31%","45",".49%"
"Native American","10",".13%","2",".15%","12",".13%"
"Asian","26",".33%","4",".31%","30",".33%"
"Data Unavailable","2",".03%","1",".08%","3",".03%"
"TOTAL","7,930","100.00%","1,294","100.00%","9,224","100.00%"
