"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","9,480","58.82%","2,567","50.99%","12,047","56.96%"
"White","6,340","39.34%","2,369","47.06%","8,709","41.18%"
"Hispanic","105","0.65%","15","0.30%","120","0.57%"
"Native American","20","0.12%","4","0.08%","24","0.11%"
"Asian","39","0.24%","17","0.34%","56","0.26%"
"Data Unavailabl","133","0.83%","62","1.23%","195","0.92%"
"TOTAL","16,117","100.00%","5,034","100.00%","21,151","100.00%"
