"","18",".32%","65",".27%"
"","5,542","100.00%","23,661","100.00%"
"BY OFFENSE","","","",""
"","","NO. OF","% of TOTAL",""
"OFFENSE","","OFFENDERS","OFFENDERS",""
"Drug","","9,130","38.59%",""
"Non-Violent","","9,767","41.28%",""
"Sex","","1,026","4.34%",""
"Violent","","3,738","15.80%",""
"TOTAL","","23,661","100.00%",""
