"COMMUNITY CORRECTIONS STATISTICS","",""
"STATUS","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Probation","10,692","35.53%"
"Probation - Compact","1,266","4.21%"
"Probation - Nonadjudicated","3,144","10.45%"
"Probation - Post Release","8,476","28.17%"
"PROBATION TOTAL","23,578","78.35%"
"Parole","3,079","10.23%"
"Parole - Compact","465","1.55%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","3,544","11.78%"
"Intensive Supervision Program - Court","985","3.27%"
"Intensive Supervision Program - Prison","160","0.53%"
"Earned Release Supervision","1,788","5.94%"
"Medical Release","37","0.12%"
"COMMUNITY INMATE TOTAL","2,970","9.87%"
"TOTAL","30,092","100.00%"
