"PROBATION STATISTICS","","","","","",""
"BY RACE AND SEX","","","","","",""
"","","% OF","","% OF","",""
"","","TOTAL MALE","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","10,306","58.30%","2,199","40.74%","12,505","54.19%"
"White","7,113","40.24%","3,116","57.74%","10,229","44.33%"
"Hispanic","138","0.78%","37",".69%","175",".76%"
"Native American","17",".10%","14",".26%","31",".13%"
"Asian","57",".32%","14",".26%","71",".31%"
"Data Unavailable","47",".27%","17",".31%","64",".28%"
"TOTAL","17,678","100.00%","5,397","100.00%","23,075","100.00%"
