"OFFENSE","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Drug","10,140","38.01%"
"Property","12,309","46.14%"
"Aggravated Assualt","1,070","4.01%"
"Violent","2,225","8.34%"
"Sex","932","3.49%"
"TOTAL","26,676","100.00%"
